codigo,nombre,curso,cuatrimestre,creditos,af1,af2,af3,af4,af5,af6
506101002,FÍSICA I,1,1C,6.0,48.0,12.0,0.0,0.0,4.0,4.0
506101003,QUÍMICA GENERAL,1,1C,6.0,48.0,12.0,0.0,0.0,4.0,3.0
506101004,INFORMÁTICA APLICADA,1,1C,6.0,40.0,0.0,0.0,20.0,4.0,4.0
506101005,EXPRESIÓN GRÁFICA,1,1C,6.0,46.0,0.0,0.0,14.0,6.0,4.0
506101006,FÍSICA II,1,2C,6.0,48.0,12.0,0.0,0.0,4.0,4.0
506101007,ESTADÍSTICA APLICADA,1,2C,6.0,44.0,0.0,0.0,16.0,4.0,6.0
506101008,CIENCIA E INGENIERÍA DE MATERIALES,1,2C,6.0,42.0,12.0,1.0,6.0,4.0,3.0
506101009,ANÁLISIS DE CIRCUITOS,1,2C,6.0,48.0,12.0,0.0,0.0,6.0,6.0
506101010,MATEMÁTICAS I,1,1C,6.0,54.0,0.0,0.0,6.0,4.0,6.0
506101011,MATEMÁTICAS II,1,2C,6.0,54.0,0.0,0.0,6.0,4.0,6.0
506102002,TERMODINÁMICA APLICADA,2,1C,4.5,37.0,0.0,0.0,8.0,8.0,4.0
506102003,AMPLIACIÓN DE ANÁLISIS DE CIRCUITOS,2,1C,4.5,35.0,10.0,0.0,0.0,4.0,8.0
506102005,FUNDAMENTOS DE ELECTRÓNICA INDUSTRIAL,2,1C,4.5,37.0,8.0,0.0,0.0,4.0,4.0
506102006,MECÁNICA DE MÁQUINAS,2,1C,6.0,52.0,8.0,1.0,0.0,4.0,4.0
506102007,REGULACIÓN AUTOMÁTICA,2,2C,4.5,31.0,8.0,0.0,6.0,4.0,3.0
506102008,MECÁNICA DE FLUIDOS,2,2C,4.5,37.0,8.0,0.0,0.0,4.0,3.0
506102009,RESISTENCIA DE MATERIALES,2,2C,4.5,35.0,6.0,0.0,4.0,4.0,4.0
506102010,INGLÉS TÉCNICO,2,2C,4.5,31.0,0.0,0.0,14.0,2.0,3.0
506102011,ORGANIZACIÓN Y GESTIÓN DE EMPRESAS,2,2C,6.0,60.0,0.0,0.0,0.0,2.0,6.0
506102012,MATEMÁTICAS III,2,1C,6.0,54.0,0.0,0.0,6.0,4.0,4.0
506102013,CIRCUITOS MAGNÉTICOS Y TRANSFORMADORES,2,1C,4.5,33.0,6.0,0.0,6.0,4.0,4.0
506102014,MÁQUINAS ELÉCTRICAS ROTATIVAS,2,2C,6.0,46.0,6.0,0.0,8.0,4.0,4.0
506103002,MÁQUINAS Y CENTRALES TÉRMICAS,3,1C,4.5,27.0,10.0,0.0,8.0,4.0,4.0
506103003,INGENIERÍA DE LOS SISTEMAS DE PRODUCCIÓN,3,1C,4.5,31.0,0.0,0.0,14.0,4.0,3.0
506103004,TRANSMISIÓN DE CALOR,3,1C,4.5,37.0,8.0,0.0,0.0,4.0,4.0
506103005,ELECTRÓNICA DE POTENCIA,3,1C,6.0,46.0,14.0,0.0,0.0,4.0,3.0
506103006,LINEAS ELÉCTRICAS,3,1C,6.0,56.0,0.0,4.0,4.0,4.0,4.0
506103007,CONTROL DE MÁQUINAS Y ACCIONAMIENTOS ELÉCTRICOS,3,2C,4.5,31.0,0.0,0.0,14.0,4.0,3.0
506103008,AUTOMATIZACIÓN INDUSTRIAL,3,2C,6.0,34.0,26.0,10.0,0.0,4.0,6.0
506103009,INGENIERÍA DE FLUIDOS Y CENTRALES HIDROELÉCTRICAS,3,2C,6.0,48.0,8.0,2.0,4.0,4.0,4.0
506103010,CENTRALES ELÉCTRICAS Y ENERGÍAS RENOVABLES,3,2C,4.5,33.0,0.0,0.0,12.0,0.0,4.0
506103011,TECNOLOGÍA MEDIOAMBIENTAL,3,2C,4.5,33.0,12.0,4.0,0.0,2.0,3.0
506103012,FUNDAMENTOS DE INSTALACIONES ELÉCTRICAS DE MEDIA Y BAJA TENSIÓN,3,1C,4.5,33.0,0.0,0.0,12.0,0.0,4.0
506103013,CÁLCULO DE INSTALACIONES ELÉCTRICAS DE MEDIA Y BAJA TENSIÓN,3,2C,4.5,45.0,0.0,0.0,0.0,0.0,2.0
506104001,PROYECTOS DE INGENIERÍA,4,1C,6.0,60.0,0.0,0.0,0.0,4.0,3.0
506104002,SISTEMAS DE ENERGÍA ELÉCTRICA,4,1C,6.0,60.0,0.0,0.0,0.0,4.0,4.0
506104003,INSTALACIONES ELÉCTRICAS DE ALTA TENSIÓN,4,1C,6.0,60.0,0.0,0.0,0.0,0.0,4.0
506109002,DIRECCIÓN DE OPERACIONES,4,2C,4.5,19.0,0.0,0.0,26.0,0.0,3.0
506109003,DISEÑO ASISTIDO POR ORDENADOR,4,2C,4.5,17.0,0.0,0.0,28.0,0.0,3.0
506109004,SEGURIDAD EN INSTALACIONES INDUSTRIALES,4,1C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109005,PREVENCIÓN DE RIESGOS LABORALES,4,1C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109006,INGENIERÍA DE MANTENIMIENTO INDUSTRIAL,4,2C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109007,INGENIERÍA DE CALIDAD,4,1C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109008,TECNOLOGÍA ENERGÉTICA,4,2C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109009,CORROSIÓN Y PROTECCIÓN DE MATERIALES,4,2C,3.0,22.0,8.0,0.0,0.0,0.0,2.0
506109062,ENERGÍA I. CALIDAD DEL SISTEMA ELÉCTRICO DE POTENCIA,4,1C,3.0,30.0,0.0,0.0,0.0,0.0,1.0
506109063,ENERGÍA II. TECNOLOGÍA NUCLEAR,4,1C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109064,ENERGÍA III. AUDITORÍA ENERGÉTICA,4,1C,3.0,30.0,0.0,3.0,0.0,0.0,2.0
506109067,INDUSTRIA III. PROGRAMACIÓN AVANZADA DE PLCs,4,2C,3.0,30.0,0.0,9.0,0.0,0.0,3.0
506109069,SMART CITIES II. MOVILIDAD ELÉCTRICA,4,2C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
506109070,SMART CITIES III.REDES INTELIGENTES (SMART GRIDS),4,2C,3.0,30.0,0.0,0.0,0.0,0.0,2.0
