codigo,nombre,curso,cuatrimestre,creditos,af1,af2,af3,af4,af5,af6
508101005,EXPRESION GRAFICA,1,1C,6.0,45,0,0,15,0,7
508101002,FÍSICA I,1,1C,6.0,48,12,0,0,0,4
508101004,INFORMÁTICA APLICADA,1,1C,6.0,43,0,0,17,0,4
508101010,MATEMÁTICAS I,1,1C,6.0,54,0,0,6,0,4
508101003,QUÍMICA GENERAL,1,1C,6.0,48,12,0,0,0,4
508101008,CIENCIA E INGENIERÍA DE MATERIALES,1,2C,6.0,44,12,1,3,0,3
508101007,ESTADÍSTICA APLICADA,1,2C,6.0,48,0,0,12,0,5
508101006,FÍSICA II,1,2C,6.0,48,12,0,0,0,4
508101009,FUNDAMENTOS DE FABRICACIÓN,1,2C,6.0,42,16,0,0,2,0
508101011,MATEMÁTICAS II,1,2C,6.0,54,0,0,6,0,4
508102013,DISEÑO INDUSTRIAL I,2,1C,4.5,30,15,0,0,0,3
508102006,INGENIERÍA DE LOS SISTEMAS DE PRODUCCIÓN,2,1C,4.5,28,15,0,0,2,0
508102012,MATEMÁTICAS III,2,1C,6.0,54,0,0,6,0,6
508102003,MECÁNICA DE MÁQUINAS,2,1C,6.0,52,8,0,0,0,5
508102005,RESISTENCIA DE MATERIALES,2,1C,4.5,37,4,0,4,0,4
508102004,TERMODINÁMICA APLICADA,2,1C,4.5,39,0,0,6,0,6
508102014,DISEÑO INDUSTRIAL II,2,2C,4.5,30,15,0,0,0,4
508102010,ELASTICIDAD Y RESISTENCIA DE MATERIALES,2,2C,6.0,50,6,0,4,0,4
508102007,INGLES TÉCNICO,2,2C,4.5,30,0,0,15,0,3
508102009,MECÁNICA DE FLUIDOS,2,2C,4.5,39,6,0,0,0,6
508102011,ORGANIZACIÓN Y GESTIÓN DE EMPRESAS,2,2C,6.0,60,0,0,0,0,6
508102008,TRANSMISIÓN DE CALOR,2,2C,4.5,37,8,0,0,0,5
508103011,DISEÑO DE ELEMENTOS DE MÁQUINAS I,3,1C,4.5,42,3,0,0,0,3
